transaction_id,date,customer_name,product_line,amount,region,sales_rep
TXN-00001,2024-01-05,Granite Industries,Technical Services,6346.53,West,Laura Wright
TXN-00002,2024-01-05,Frontier Chemical,Industrial Products,50958.92,South,Karen Nelson
TXN-00003,2024-01-05,Imperial Manufacturing,Industrial Products,2938.29,South,Laura Wright
TXN-00004,2024-01-05,BlueStar Energy,Safety & Compliance,3217.77,South,Karen Nelson
TXN-00005,2024-01-06,Harbor Foods,Industrial Products,36545.17,West,Emily Taylor
TXN-00006,2024-01-07,Windward Foods,Technical Services,5304.65,Midwest,Laura Wright
TXN-00007,2024-01-08,Jupiter Foods,Technical Services,3805.67,South,Sarah Chen
TXN-00008,2024-01-08,Oakridge Chemical,Technical Services,49989.71,South,Laura Wright
TXN-00009,2024-01-09,Gateway Mining,Industrial Products,21394.73,South,Emily Taylor
TXN-00010,2024-01-09,Olympus Mining,Industrial Products,5036.31,South,Laura Wright
TXN-00011,2024-01-09,Redwood Energy,Technical Services,9643.18,West,Karen Nelson
TXN-00012,2024-01-09,Granite Industries,Industrial Products,46120.77,Midwest,Karen Nelson
TXN-00013,2024-01-10,Granite Industries,Industrial Products,11977.41,Northeast,Emily Taylor
TXN-00014,2024-01-11,Apex Manufacturing,Industrial Products,27207.29,West,Amanda Clark
TXN-00015,2024-01-11,BlueStar Energy,Industrial Products,15426.51,South,Karen Nelson
TXN-00016,2024-01-12,Zenith Manufacturing,Safety & Compliance,19613.33,Midwest,Sarah Chen
TXN-00017,2024-01-12,Canyon Construction,Industrial Products,7110.12,West,Emily Taylor
TXN-00018,2024-01-12,Eagle Transport,Industrial Products,8176.99,Northeast,Laura Wright
TXN-00019,2024-01-13,Upland Chemical,Industrial Products,8528.1,Midwest,Laura Wright
TXN-00020,2024-01-13,Summit Construction,Technical Services,14582.28,South,Sarah Chen
TXN-00021,2024-01-14,Granite Industries,Technical Services,6459.76,South,Karen Nelson
TXN-00022,2024-01-14,Summit Construction,Industrial Products,8934.21,South,Emily Taylor
TXN-00023,2024-01-15,Summit Construction,Safety & Compliance,6321.57,Northeast,Sarah Chen
TXN-00024,2024-01-15,BlueStar Energy,Technical Services,8688.81,Midwest,Karen Nelson
TXN-00025,2024-01-16,Frontier Chemical,Safety & Compliance,55396.02,Midwest,Laura Wright
TXN-00026,2024-01-16,Gateway Mining,Safety & Compliance,2978.58,West,Emily Taylor
TXN-00027,2024-01-17,Ironclad Industries,Industrial Products,4508.18,West,Emily Taylor
TXN-00028,2024-01-19,Jupiter Foods,Industrial Products,5931.75,West,Amanda Clark
TXN-00029,2024-01-19,Harbor Foods,Industrial Products,4112.69,South,Emily Taylor
TXN-00030,2024-01-19,Lakeview Medical,Industrial Products,13260.79,Northeast,Amanda Clark
TXN-00031,2024-01-20,Ironclad Industries,Safety & Compliance,6927.11,South,Emily Taylor
TXN-00032,2024-01-21,BlueStar Energy,Industrial Products,3747.91,Midwest,Amanda Clark
TXN-00033,2024-01-21,Keystone Materials,Industrial Products,13704.87,West,Laura Wright
TXN-00034,2024-01-22,Delta Healthcare,Safety & Compliance,17554.77,South,Karen Nelson
TXN-00035,2024-01-22,Delta Healthcare,Technical Services,8833.1,Midwest,Amanda Clark
TXN-00036,2024-01-23,BlueStar Energy,Industrial Products,4765.22,Midwest,Amanda Clark
TXN-00037,2024-01-23,Harbor Foods,Industrial Products,46763.24,Midwest,Laura Wright
TXN-00038,2024-01-24,Granite Industries,Industrial Products,12763.89,Northeast,Amanda Clark
TXN-00039,2024-01-26,Frontier Chemical,Safety & Compliance,2924.11,Northeast,Sarah Chen
TXN-00040,2024-01-27,Gateway Mining,Industrial Products,25115.3,South,Laura Wright
